grad_norm,loss,loss_q2,loss_q3,mse,mse_q2,mse_q3,param_norm,samples,step,vb,vb_q2,vb_q3,loss_q0,loss_q1,mse_q0,mse_q1,vb_q0,vb_q1
3.5134823861524316,1.046722412109375,0.9337717,1.1596732,0.9959656596183777,0.92906773,1.0628636,151.50731890457268,4,0,0.05075680837035179,0.0047040256,0.09680959,,,,,,
2.9816438491556005,0.9350563049316406,0.89625645,0.96401495,0.9253699660301209,0.89188373,0.9484779,151.50931009359672,44,10,0.00968634602613747,0.0043726773,0.015537149,0.9331573,0.9328127,0.9163518,0.92825973,0.016805453,0.004553218
2.852676002905671,0.7960670828819275,0.7617704,0.8065795,0.7886918365955352,0.7580356,0.7873305,151.5135828385008,84,20,0.007375243864953519,0.0037347823,0.019248972,0.81271756,0.80698645,0.8048254,0.80268484,0.007892119,0.004301668
2.593585844383052,0.6968303024768829,0.6366541,0.67094815,0.689111250638962,0.63345677,0.66026354,151.5189449627455,124,30,0.007719064829871058,0.0031974416,0.010684615,0.7968691,0.67655563,0.7816003,0.6730714,0.015268955,0.0034842824
2.352998482439384,0.5309969663619996,0.49260426,0.52572614,0.5259876012802124,0.49000382,0.51762074,151.52591643094985,164,40,0.005009357444941997,0.00260049,0.008105479,0.6165911,0.54189473,0.6089935,0.53925526,0.0075976565,0.0026394664
2.1362476224514704,0.47734637558460236,0.43796545,0.4457447,0.4690806686878204,0.43575126,0.42832094,151.53261756321623,204,50,0.00826572368387133,0.0022141254,0.017423727,0.6339148,0.39995125,0.62151307,0.39798298,0.012401772,0.0019682825
1.9676353392846198,0.3904076725244522,0.313297,0.30932593,0.3834626376628876,0.3116864,0.29669583,151.54053065151047,244,60,0.006945034908130765,0.0016105372,0.012630113,0.5569578,0.37616068,0.54645216,0.37425804,0.010505629,0.0019026904
2.0196182901098068,0.393618255853653,0.26701945,0.2545466,0.3826659023761749,0.26573715,0.24611235,151.55077861484097,284,70,0.010952348471619189,0.0012822646,0.00843425,0.5862094,0.3242812,0.5641372,0.3225084,0.022072246,0.0017727976
1.6955415293386815,0.29198790043592454,0.2320595,0.21867444,0.2866204023361206,0.23087995,0.20740154,151.56124889907372,324,80,0.005367507413029671,0.001179546,0.011272894,0.49493605,0.25511417,0.48413867,0.2538995,0.0107974205,0.0012146793
1.6218943337083571,0.2805596500635147,0.2017933,0.17453435,0.27378352284431456,0.20081548,0.1723336,151.57088083022572,364,90,0.006776128942146898,0.0009778342,0.0022007448,0.46828333,0.22996372,0.44912028,0.22880085,0.019163035,0.0011628671
1.6689967662228522,0.27872188985347746,0.16088831,0.13798924,0.27321935594081875,0.16010155,0.13314706,151.57812143256353,404,100,0.005502532329410314,0.0007867602,0.0048421477,0.45531443,0.21348253,0.44485006,0.21240444,0.010464342,0.0010780877
1.308054648540295,0.20857325792312623,0.15508346,0.122637205,0.2050284400582314,0.15433179,0.12008217,151.58647739028348,444,110,0.0035448196111246945,0.0007516578,0.0025550502,0.46727303,0.1992,0.44803333,0.1981926,0.019239668,0.0010074096
1.4316285929515784,0.21965260878205298,0.12840888,0.1130159,0.21692219600081444,0.12780257,0.11201057,151.59678325448542,484,120,0.0027304086193908005,0.00060630875,0.0010053253,0.38217607,0.18572468,0.37548476,0.18473512,0.0066913036,0.0009895512
1.1413425635796073,0.1722169265151024,0.11577507,0.090935886,0.1699417293071747,0.115206145,0.08993576,151.60726856137913,524,130,0.0022751950076781214,0.00056893815,0.0010001406,0.4554757,0.17216317,0.44274825,0.17125273,0.012727464,0.0009104176
1.4907877839668489,0.2351527333259583,0.12480695,0.0905945,0.22779780104756356,0.12419306,0.085028,151.6180035939725,564,140,0.00735492706298828,0.00061388384,0.0055665085,0.42723766,0.15670364,0.4093036,0.15587187,0.017934043,0.0008317328
1.2364074113506411,0.18425402715802194,0.09163243,0.08840815,0.1664744198322296,0.09118757,0.08279977,151.62871398245048,604,150,0.01777960143517703,0.00044484745,0.005608393,0.4862551,0.14378488,0.40462944,0.14310041,0.081625625,0.0006844577
1.1290019755842775,0.1523855485022068,0.078781225,0.061761133,0.15002978220582008,0.07838162,0.057064578,151.63893003897934,644,160,0.0023557695152703674,0.0003996145,0.0046965596,0.27021018,0.12051604,0.26711705,0.11992991,0.0030930918,0.00058611523
1.5766501335545935,0.19966208189725876,0.0854064,0.07435532,0.1936275877058506,0.084992886,0.06916984,151.64716805571348,684,170,0.006034486822318285,0.00041351834,0.0051854746,0.42122784,0.14828429,0.40555742,0.14751272,0.015670376,0.0007715998
1.0169789435074557,0.14361220449209214,0.093779474,0.06920816,0.14246044829487803,0.09332551,0.068459645,151.656474690206,724,180,0.0011517554754391314,0.00045396964,0.000748519,0.22521591,0.13079534,0.22299333,0.13014421,0.0022225953,0.0006511164
1.0317746780399186,0.14307068139314652,0.08313326,0.057820108,0.14010769724845887,0.08272509,0.05647037,151.6657641137805,764,190,0.002962984843179584,0.00040815305,0.0013497325,0.37591317,0.11116864,0.364121,0.11060543,0.01179216,0.00056319055
1.4011563842619106,0.2054394394159317,0.08030941,0.054030966,0.17241038680076598,0.07989977,0.053214412,151.67406514353775,804,200,0.03302905094460584,0.00040962937,0.0008165611,0.89234436,0.11463132,0.67526543,0.11407111,0.21707891,0.00056020985
1.0105631616864401,0.12767990864813328,0.06941176,0.04591854,0.1258342530578375,0.069067344,0.04535021,151.6817020105041,844,210,0.0018456556688761338,0.0003444345,0.00056833314,0.31170475,0.14172368,0.30456153,0.1410242,0.0071432414,0.000699491
1.2531031364995084,0.195708766579628,0.07207581,0.053218633,0.18528470396995544,0.07171243,0.048931688,151.68828210058453,884,220,0.010424058823264203,0.0003633805,0.004286954,0.5308483,0.1302986,0.49643597,0.12965485,0.034412354,0.00064372993
1.3997886456199804,0.16939045339822767,0.057816025,0.043616578,0.16454718485474587,0.057535697,0.043199185,151.69570298093186,924,230,0.0048432658892124895,0.00028033048,0.00041738423,0.41821223,0.12613717,0.40179253,0.12553658,0.0164197,0.0006005949
1.3065720116022992,0.173654567822814,0.072909124,0.04370476,0.1675164870917797,0.07256277,0.04313196,151.70353868286782,964,240,0.006138078385265543,0.00034635348,0.00057280314,0.5021721,0.11841807,0.47677296,0.117800936,0.025399208,0.00061714096
